sep=,
DeviceTag:,15,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.0.0,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Rate quantities,,,,,,,,,,,,,,,,,
StartTime:,2023-07-20 16:10:25.154 +0900,,,,,,,,,,,,,,,,,
© Movella Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1978, 706396126, -1.7761961221694946, -4.118934631347656, 8.697113037109375, -8.064750671386719, -3.9271326065063477, -4.434891700744629
1979, 706412793, -1.7483851909637451, -3.607137441635132, 8.02416706085205, 18.85689353942871, -5.262546062469482, -4.575740337371826
1980, 706429460, -2.10172176361084, -2.7243154048919678, 7.400843620300293, 90.46311950683594, 5.394594669342041, -6.7284345626831055
1981, 706446127, -1.7298444509506226, -2.283392906188965, 7.106490135192871, 171.59628295898438, 9.349174499511719, -14.53046989440918
1982, 706462794, -1.1845850944519043, -2.891062021255493, 8.238201141357422, 187.60012817382812, -5.314049243927002, -22.639673233032227
1983, 706479461, -1.0972702503204346, -2.857579469680786, 8.343599319458008, 183.89779663085938, -35.89500045776367, -18.451427459716797
1984, 706496128, -1.5038518905639648, -1.951305627822876, 9.916633605957031, 266.69549560546875, -37.67967987060547, 1.9053101539611816
1985, 706512795, -1.416623592376709, -0.5365684628486633, 10.976017951965332, 376.107421875, -4.3629374504089355, 22.29828643798828
1986, 706529462, -0.895298421382904, -0.0912090539932251, 10.768346786499023, 296.7716979980469, 46.86003494262695, 14.50119400024414
1987, 706546129, -0.7801821231842041, 0.09475141763687134, 8.472912788391113, 199.80104064941406, 49.894710540771484, 13.384306907653809
1988, 706562796, -1.3591645956039429, 1.2236227989196777, 8.367790222167969, 125.86524200439453, 8.813765525817871, 19.149032592773438
1989, 706579463, -1.9888033866882324, 1.7745498418807983, 9.952516555786133, 101.23087310791016, -8.660728454589844, 23.84151840209961
1990, 706596130, -1.8608033657073975, 2.679992914199829, 9.258463859558105, 70.13044738769531, 13.462085723876953, 11.041857719421387
1991, 706612797, -1.894922137260437, 2.7202157974243164, 8.011263847351074, 96.13628387451172, -4.140033721923828, -12.167767524719238
1992, 706629464, -1.7023175954818726, 1.8416639566421509, 7.935042858123779, 90.29085540771484, -18.06119728088379, -7.1008734703063965
1993, 706646131, -1.2557092905044556, 1.8387879133224487, 9.072400093078613, 67.0189208984375, -15.940497398376465, 1.837991714477539
1994, 706662798, -1.6453403234481812, 2.7328367233276367, 9.706453323364258, 51.91915512084961, -18.660757064819336, 14.517498970031738
1995, 706679465, -2.1141717433929443, 3.39699387550354, 9.376073837280273, 36.41592788696289, 0.9864205121994019, 10.419767379760742
